Queqtion,choix1,2,3,4,5,6
À quelle température l'eau boue t-elle ?,100°C,80°C,900°C,50°C,90°C,42°C
Quelle technique permet de séparer un mélange d’eau et de sable ?,filtration,neutralisation,fatalisation,séparation,complication,aliénation
Dans quel état passe l'eau lorsqu'elle atteint 100°C ?,vapeur,buée,brouillard,condensation,atomisation,ridiculisation
Quel gaz est indispensable à la combustion ?,dioxygène,monoxyde de carbone,butane,azote,méthane,butagaz
Comment appelle-t-on une transformation où de nouvelles substances se forment ?,transformation chimique,transformation physique,dissolution,mélange homogène,mélange hétérogène,évaporation,fusion,solidification
Comment appelle-t-on une transformation où les substances ne changent pas de nature ?,transformation physique,transformation chimique,réaction chimique,mélange homogène,mélange hétérogène,dissolution,combustion,oxydation
Quel est le produit de la combustion complète d'un hydrocarbure avec du dioxygène ?,dioxyde de carbone et eau,monoxyde de carbone et eau,dioxygène et azote,vapeur d’eau et azote,méthane et dioxygène,carbone et hydrogène,oxygène et méthane,hydrogène et azote
Comment appelle-t-on une transformation où un solide disparaît dans un liquide ?,dissolution,fusion,solidification,évaporation,ébullition,précipitation,décantation,filtration
Quel gaz est produit lors de la combustion incomplète d'un hydrocarbure ?,monoxyde de carbone,dioxyde de carbone,dioxygène,azote,vapeur d’eau,méthane,propane,hydrogène
Quelle est la formule chimique de l'oxygène dans l’air ?,O₂,CO₂,H₂O,CH₄,NH₃,O₃,NO₂,N₂
Quel gaz est indispensable à la respiration des êtres vivants ?,dioxygène,dioxyde de carbone,méthane,azote,ozone,hydrogène,ammoniac,hélium
Comment appelle-t-on le passage de l’état solide directement à l’état gazeux ?,sublimation,condensation,vaporisation,fusion,solidification,liquéfaction,évaporation,ébullition
Quelle est l’unité utilisée pour mesurer la masse volumique ?,kg/m³,kg,g,L,J,W,N,A
Comment appelle-t-on la propriété d’un liquide à former des gouttes ?,tension superficielle,viscosité,densité,solubilité,cohésion,adhérence,capillarité,fusion
Quelle forme d'énergie est contenue dans un objet en mouvement ?,énergie cinétique,énergie potentielle,énergie thermique,énergie chimique,énergie lumineuse,énergie électrique,énergie sonore,énergie nucléaire
Quelle forme d’énergie est liée à l’altitude d’un objet ?,énergie potentielle,énergie cinétique,énergie thermique,énergie chimique,énergie lumineuse,énergie sonore,énergie électrique,énergie nucléaire
Quelle est la principale source d’énergie pour la Terre ?,soleil,vent,pétrole,charbon,eau,uranium,biomasse,gaz naturel
Quelle unité est utilisée pour mesurer l’énergie ?,joule (J),watt (W),newton (N),ampère (A),volt (V),coulomb (C),hertz (Hz),ohm (Ω)
Comment appelle-t-on l'énergie transportée par un courant électrique ?,énergie électrique,énergie thermique,énergie lumineuse,énergie cinétique,énergie chimique,énergie potentielle,énergie sonore,énergie nucléaire
Quelle est la vitesse de la lumière dans le vide ?,300 000 km/s,150 000 km/s,250 000 km/s,200 000 km/s,350 000 km/s,100 000 km/s,400 000 km/s,450 000 km/s
Quelle est la couleur de la lumière qui contient toutes les autres ?,blanche,rouge,bleue,verte,jaune,noire,violette,orange
